Wall time,Step,Value
1715913414.664877,0,4.648581504821777
1715913456.497681,3,0.8146406412124634
1715913468.2900329,4,0.766362726688385
1715913552.55188,10,0.5932962894439697
1715913566.1146638,11,0.6140472888946533
1715913608.7972474,14,0.4565381705760956
1715913622.6596751,15,0.4484391212463379
1715913660.0184445,18,0.4201819896697998
1715913673.5682774,19,0.3856484591960907
1715913687.8544974,20,0.3702918589115143
1715913713.5439987,22,0.3677468001842499
1715913727.357863,23,0.3546796143054962
1715913766.8132095,26,0.3387572169303894
1715913778.469561,27,0.3347565829753876
1715913855.8363767,33,0.318669855594635
1715913892.955427,36,0.3081638813018799
1715913905.0001702,37,0.30828362703323364
1715913917.2628188,38,0.30336877703666687
1715913930.9688613,39,0.3089155852794647
1715913942.6698291,40,0.30426710844039917
1715914033.3667736,47,0.2873268723487854
1715914045.2574816,48,0.29120728373527527
1715914057.048742,49,0.28986796736717224
1715914084.9232473,51,0.28276920318603516
1715914096.66688,52,0.2769249975681305
1715914122.1551778,54,0.29140281677246094
1715914157.8103378,57,0.27970585227012634
1715914197.7214847,60,0.2727434039115906
1715914209.4341717,61,0.2783505916595459
1715914221.1214077,62,0.26647788286209106
1715914232.778109,63,0.27442947030067444
1715914259.1424787,65,0.2713140845298767
1715914272.7084577,66,0.26669079065322876
1715914284.4912374,67,0.26950785517692566
1715914295.9769433,68,0.2640925347805023
1715914323.8255024,70,0.2673739790916443
1715914336.149308,71,0.26778313517570496
1715914408.6160753,77,0.2660505473613739
1715914434.322097,79,0.25353318452835083
1715914448.2373283,80,0.25769999623298645
1715914472.0524528,82,0.26215624809265137
1715914483.9627664,83,0.25783514976501465
1715914508.1641867,85,0.2580948770046234
1715914556.989258,89,0.2581452429294586
1715914570.6471856,90,0.25619396567344666
1715914633.6881275,95,0.253703236579895
1715914681.577187,99,0.254422664642334
1715914693.1063552,100,0.24458160996437073
1715914730.1810932,103,0.2443612664937973
1715914764.8268998,106,0.24918480217456818
1715914776.487451,107,0.24979400634765625
1715914799.6046853,109,0.24677014350891113
1715914858.030034,114,0.23850217461585999
1715914881.4878497,116,0.23943601548671722
1715914941.3575513,121,0.23632526397705078
1715914987.907359,125,0.2381027787923813
1715914999.3784714,126,0.23690330982208252
1715915022.5734317,128,0.22896571457386017
1715915045.6007965,130,0.23099353909492493
1715915057.1650033,131,0.22574038803577423
1715915070.7634418,132,0.23161756992340088
1715915117.523792,136,0.23106692731380463
1715915129.1284423,137,0.2303001880645752
1715915202.8169165,143,0.22350135445594788
1715915214.5136912,144,0.22607195377349854
1715915239.9983099,146,0.22398315370082855
1715915251.2968655,147,0.22900548577308655
1715915286.3581157,150,0.22071285545825958
1715915370.4341342,157,0.21239280700683594
1715915393.4030266,159,0.2258656769990921
1715915405.109459,160,0.22304797172546387
1715915428.685161,162,0.21605587005615234
1715915452.228104,164,0.22394464910030365
1715915475.7944648,166,0.22051048278808594
1715915522.9491937,170,0.21283426880836487
1715915534.3336,171,0.22414933145046234
1715915545.8036041,172,0.22377823293209076
1715915582.3149076,175,0.2181505262851715
1715915596.6579173,176,0.21666394174098969
1715915608.4249308,177,0.22025299072265625
1715915619.658907,178,0.21842257678508759
1715915644.7632623,180,0.2116623967885971
1715915656.2211475,181,0.21814139187335968
1715915690.5930724,184,0.21906712651252747
1715915701.9351196,185,0.22215914726257324
1715915713.3786619,186,0.21146345138549805
1715915748.0160363,189,0.21554283797740936
1715915759.485728,190,0.21321670711040497
1715915770.821106,191,0.21019764244556427
1715915782.326943,192,0.21696805953979492
1715915816.9670374,195,0.21583156287670135
1715915863.1465394,199,0.20612430572509766
1715915874.4106483,200,0.20980556309223175
1715915897.2925,202,0.2076829969882965
1715915909.255088,203,0.2094406634569168
1715915920.7078788,204,0.2103552669286728
1715915932.5318975,205,0.2145048826932907
1715915957.8607144,207,0.21235652267932892
1715915983.0610852,209,0.20631995797157288
1715916006.7304504,211,0.21268068253993988
1715916029.8415594,213,0.20606715977191925
1715916054.9956746,215,0.20592056214809418
1715916066.6835015,216,0.2052042931318283
1715916092.21945,218,0.20783419907093048
1715916103.9312475,219,0.2092188447713852
1715916115.263121,220,0.20872683823108673
1715916126.9076223,221,0.20289988815784454
1715916138.4219565,222,0.2101811170578003
1715916161.5666041,224,0.20014727115631104
1715916173.1472843,225,0.20586875081062317
1715916221.8023071,229,0.20352141559123993
1715916290.6742308,235,0.20478086173534393
1715916313.5319982,237,0.2038407176733017
1715916325.0670261,238,0.20206962525844574
1715916336.619967,239,0.20549888908863068
1715916359.3652363,241,0.2010008841753006
1715916370.899497,242,0.20040395855903625
1715916393.4010615,244,0.19950218498706818
1715916405.502056,245,0.20381365716457367
1715916417.0214612,246,0.2045440524816513
1715916430.5723417,247,0.20656250417232513
1715916495.1784072,252,0.20662756264209747
1715916506.6818821,253,0.19384491443634033
1715916518.2067795,254,0.20076881349086761
1715916552.5816066,257,0.19840551912784576
1715916564.3234956,258,0.20091234147548676
1715916575.6063423,259,0.20609667897224426
1715916586.9764633,260,0.2010609358549118
1715916609.7738042,262,0.20192384719848633
1715916702.8297853,270,0.1910369098186493
1715916714.3498,271,0.20004902780056
1715916748.6700218,274,0.19872961938381195
1715916759.9704936,275,0.20087754726409912
1715916771.4230247,276,0.20083165168762207
1715916794.1708298,278,0.1993371993303299
1715916817.6013064,280,0.19600878655910492
1715916840.5072203,282,0.19898365437984467
1715916851.743413,283,0.19227711856365204
1715916874.5890524,285,0.19544392824172974
1715916898.0137637,287,0.1942245215177536
1715916909.7786033,288,0.19456876814365387
1715916932.5628161,290,0.19396375119686127
1715916990.578714,295,0.19201944768428802
1715917002.0273225,296,0.1906319260597229
1715917013.3658864,297,0.192114919424057
1715917025.0108352,298,0.1928049623966217
1715917093.7488236,304,0.19425904750823975
1715917116.6230614,306,0.19195717573165894
1715917139.7399523,308,0.19728335738182068
1715917151.2843149,309,0.1976003795862198
1715917186.0093873,312,0.18692825734615326
1715917197.4983985,313,0.19013096392154694
1715917232.03383,316,0.1904240846633911
1715917254.896366,318,0.18914693593978882
1715917266.5118601,319,0.19088028371334076
1715917301.0976503,322,0.1878383308649063
1715917326.5283654,324,0.1945083886384964
1715917384.2587593,329,0.18996743857860565
1715917395.80851,330,0.18789373338222504
1715917407.1751986,331,0.18674612045288086
1715917418.5881119,332,0.1963949054479599
1715917475.4530427,337,0.18550686538219452
1715917487.112813,338,0.1911601424217224
1715917510.4915953,340,0.18782341480255127
1715917544.865545,343,0.18774665892124176
1715917556.1570206,344,0.1909209042787552
1715917567.4689248,345,0.1910252869129181
1715917578.9531786,346,0.18584609031677246
1715917601.9625542,348,0.18750448524951935
1715917624.7541168,350,0.18528196215629578
1715917647.7531154,352,0.19266143441200256
1715917659.1444848,353,0.1914314180612564
1715917670.618069,354,0.19043396413326263
1715917716.5860944,358,0.18793830275535583
1715917739.633127,360,0.18491601943969727
1715917762.0765214,362,0.18450112640857697
1715917773.665937,363,0.18483753502368927
1715917785.434833,364,0.1843879073858261
1715917797.064658,365,0.18429863452911377
1715917808.5061266,366,0.1870926469564438
1715917819.867986,367,0.18374842405319214
1715917831.4875376,368,0.18602414429187775
1715917900.3681076,374,0.18327295780181885
1715917934.9517858,377,0.18628297746181488
1715917946.204496,378,0.18733371794223785
1715918026.992667,385,0.18489421904087067
1715918038.4111378,386,0.18168123066425323
1715918084.8702998,390,0.1864396035671234
1715918096.3099434,391,0.1866048276424408
1715918108.1473203,392,0.1821412891149521
1715918119.5845685,393,0.18188534677028656
1715918131.1958103,394,0.1819157749414444
1715918142.5097377,395,0.18105611205101013
1715918153.9674172,396,0.18750159442424774
1715918165.3245947,397,0.18264786899089813
1715918176.8198717,398,0.1831286996603012
1715918188.251419,399,0.18955957889556885
1715918211.1019082,401,0.18246868252754211
1715918222.622607,402,0.18736165761947632
1715918245.5863035,404,0.18534933030605316
1715918290.995899,408,0.18084277212619781
1715918302.8529649,409,0.18327514827251434
1715918337.795674,412,0.18177396059036255
1715918349.3450282,413,0.18616917729377747
1715918360.9596593,414,0.18349194526672363
1715918372.202006,415,0.1837451457977295
1715918406.8633506,418,0.18487368524074554
1715918441.5208724,421,0.18097542226314545
1715918453.1360219,422,0.1837911754846573
1715918487.3352516,425,0.17904987931251526
1715918498.903051,426,0.17959921061992645
1715918545.2206123,430,0.18339045345783234
1715918556.6848955,431,0.18112143874168396
1715918591.734188,434,0.1816139668226242
1715918603.0073733,435,0.18258140981197357
1715918614.4337704,436,0.18630605936050415
1715918626.1358407,437,0.18383027613162994
1715918637.8180134,438,0.18007546663284302
1715918649.095055,439,0.1789957880973816
1715918660.6154566,440,0.1799718141555786
1715918672.181661,441,0.17897801101207733
1715918695.0839055,443,0.1768566519021988
1715918706.359086,444,0.18044352531433105
1715918717.9159687,445,0.1794150322675705
1715918729.659356,446,0.17488081753253937
1715918775.659153,450,0.18265400826931
1715918786.8778543,451,0.17679999768733978
1715918798.3236418,452,0.1798722743988037
1715918809.634406,453,0.17754800617694855
1715918821.4207351,454,0.18031661212444305
1715918844.3643377,456,0.17777912318706512
1715918867.5744507,458,0.17728909850120544
1715918890.6956553,460,0.18190334737300873
1715918902.0255094,461,0.17927740514278412
1715918936.337013,464,0.1751287430524826
1715918947.544891,465,0.17809449136257172
1715918959.1539948,466,0.1816757619380951
1715918982.2319427,468,0.17569611966609955
1715919005.0870264,470,0.17773473262786865
1715919051.3114185,474,0.176707461476326
1715919062.7414515,475,0.17771196365356445
1715919097.2068996,478,0.17595352232456207
1715919108.54349,479,0.1755732297897339
1715919120.0196989,480,0.17564089596271515
1715919131.6872373,481,0.17610374093055725
1715919143.4730787,482,0.1728617399930954
1715919155.1211963,483,0.17770402133464813
1715919166.4743917,484,0.1811407506465912
1715919189.3083875,486,0.17813630402088165
1715919201.0327632,487,0.1763666272163391
1715919212.631358,488,0.17592154443264008
1715919224.115729,489,0.1733914464712143
1715919246.62564,491,0.1783410757780075
1715919281.2281172,494,0.1748172789812088
1715919327.5071945,498,0.17729322612285614
1715919361.601129,501,0.1772203892469406
1715919373.05034,502,0.17441104352474213
1715919384.3968835,503,0.1720125675201416
1715919419.0244126,506,0.17740216851234436
1715919442.0740726,508,0.17523103952407837
1715919453.6558394,509,0.17616407573223114
1715919465.2613966,510,0.1745196133852005
1715919476.9015837,511,0.17726199328899384
1715919488.2496197,512,0.17499515414237976
1715919499.636961,513,0.17370350658893585
1715919511.0535166,514,0.1709497720003128
1715919545.689566,517,0.1706032007932663
1715919557.0765035,518,0.17519930005073547
1715919568.4439487,519,0.1733383983373642
1715919579.98951,520,0.17494386434555054
1715919614.7929726,523,0.1718943864107132
1715919696.1310427,530,0.1750539094209671
1715919731.035702,533,0.17599351704120636
1715919742.6393962,534,0.17442987859249115
1715919765.6748452,536,0.1715276837348938
1715919777.774754,537,0.17382095754146576
1715919789.2661843,538,0.17409978806972504
1715919800.7775924,539,0.17257289588451385
1715919812.2760804,540,0.17200176417827606
1715919835.7291472,542,0.1774279624223709
1715919847.0765102,543,0.18069404363632202
1715919858.6993673,544,0.17425177991390228
1715919881.5458338,546,0.1717182844877243
1715919893.198311,547,0.1737089902162552
1715919927.7962627,550,0.1732305884361267
1715919950.7696488,552,0.17409281432628632
1715919974.1070693,554,0.1712462306022644
1715919985.419478,555,0.17090675234794617
1715919997.1853647,556,0.17404387891292572
1715920065.6443348,562,0.1704966276884079
1715920076.89283,563,0.17173698544502258
1715920090.6490586,564,0.16997596621513367
1715920137.5299454,568,0.17085255682468414
1715920172.0854259,571,0.172777459025383
1715920195.428768,573,0.17249515652656555
1715920230.0174468,576,0.17288720607757568
1715920276.6606505,580,0.17039552330970764
1715920322.518011,584,0.1777721345424652
1715920333.9329867,585,0.1709674745798111
