Wall time,Step,Value
1718898740.9206781,0,0.30568182468414307
1718898748.5916982,2,0.30568182468414307
1718898751.962237,3,0.22565531730651855
1718898754.9827704,4,nan
1718898774.0593975,9,0.23232115805149078
1718898777.9663575,10,0.35425224900245667
1718898781.1570067,11,0.3160163462162018
1718898789.9700606,14,0.14103204011917114
1718898792.8285553,15,0.20927539467811584
1718898796.1375551,16,0.22196201980113983
1718898801.7785392,18,nan
1718898804.8073516,19,nan
1718898808.076934,20,nan
1718898814.0580547,22,nan
1718898817.0305455,23,nan
1718898824.7014434,26,nan
1718898827.175791,27,nan
1718898830.5700173,28,nan
1718898833.515595,29,nan
1718898836.6140096,30,nan
1718898844.9978333,33,nan
1718898847.5412955,34,nan
1718898852.656214,36,nan
1718898855.2804077,37,nan
1718898858.5305698,38,nan
1718898861.0531552,39,nan
1718898864.0235279,40,nan
1718898882.5092044,47,nan
1718898885.1790876,48,nan
1718898887.812718,49,nan
1718898890.8792672,50,nan
1718898893.4625425,51,nan
1718898896.150979,52,nan
1718898899.4486718,53,nan
1718898902.5552828,54,nan
1718898905.3913198,55,nan
1718898911.1748626,57,nan
1718898919.2129855,60,nan
1718898921.9335928,61,nan
1718899674.8679442,62,nan
1718899678.0356445,63,nan
1718899684.0952969,65,nan
1718899687.0406473,66,nan
1718899689.800053,67,nan
1718899694.3051906,68,nan
1718899701.0510366,70,nan
1718899703.5181599,71,nan
1718899708.7012703,73,nan
1718899714.5523992,75,nan
1718899720.256772,77,nan
1718899723.0873027,78,nan
1718899725.762547,79,nan
1718899728.3795602,80,nan
1718899734.2288344,82,nan
1718899738.0391686,83,nan
1718899743.598237,85,nan
1718899746.0655253,86,nan
1718899748.8257604,87,nan
1718899754.738813,89,nan
1718899757.7654579,90,nan
1718899772.1262553,95,nan
1718899783.611407,99,nan
1718899786.5740848,100,nan
1718899794.84552,103,nan
1718899798.1384866,104,nan
1718899803.6828873,106,nan
1718899806.5771508,107,nan
1718899809.483168,108,nan
1718899812.2330432,109,nan
1718899815.302763,110,nan
1718899818.7621026,111,nan
1718899822.2343063,112,nan
1718899827.8325324,114,nan
1718899830.6555207,115,0.4070951044559479
1718899833.5465708,116,nan
1718899846.110631,120,nan
1718899849.3181455,121,nan
1718899862.1442223,125,nan
1718899864.9071558,126,nan
1718899871.1154764,128,0.5197879076004028
1718899873.9376404,129,0.5300835967063904
1718899876.6850176,130,nan
1718899879.5896673,131,0.4855842888355255
1718899882.4797285,132,0.48166608810424805
1718899888.1237037,134,0.47844547033309937
1718899894.2376456,136,0.5663366913795471
1718899897.331947,137,nan
1718899899.9924154,138,nan
1718899902.7763894,139,nan
1718899914.2251554,143,nan
1718899917.002928,144,nan
1718899919.601547,145,0.5359256863594055
1718899922.1475685,146,nan
1718899924.938815,147,0.5446546673774719
1718899933.5387254,150,nan
1718899945.0954566,154,0.5211085081100464
1718899950.55147,156,nan
1718899953.5243797,157,nan
1718899958.9955535,159,0.5826019644737244
1718899961.7137437,160,0.5763608813285828
1718899967.3214767,162,0.5881227850914001
1718899970.101976,163,0.5847397446632385
1718899972.8402166,164,0.5448288917541504
1718899978.3055432,166,0.5906988382339478
1718899983.5599232,168,nan
1718899988.967542,170,nan
1718899991.608086,171,0.5791124105453491
1718899994.4449685,172,0.5781088471412659
1718900000.0399053,174,0.5625137686729431
1718900002.6469293,175,nan
1718900005.408813,176,nan
1718900008.4250896,177,0.5354934930801392
1718900011.393571,178,0.5639550089836121
1718900016.983469,180,0.5987696051597595
1718900019.8339083,181,0.6066445708274841
1718900022.6593828,182,0.5708712339401245
1718900025.2814496,183,0.5432723164558411
1718900027.9111059,184,0.5574977397918701
1718900030.630774,185,0.6200791001319885
1718900033.387248,186,0.6331705451011658
1718900041.8120365,189,0.607093334197998
1718900044.8314023,190,0.6297564506530762
1718900048.4001021,191,0.6015244722366333
1718900051.3749623,192,0.5387794375419617
1718900059.661575,195,0.6237792372703552
1718900067.8621893,198,0.6044190526008606
1718900070.5552208,199,0.607067883014679
1718900073.2869198,200,0.6338611245155334
1718900079.2475545,202,0.6141549944877625
1718900081.9596505,203,0.6318777203559875
1718900084.682297,204,0.6288436055183411
1718900087.3478334,205,0.6152923107147217
1718900092.6210175,207,0.6073254942893982
1718900095.391572,208,0.618922770023346
1718900097.9548168,209,0.6066136360168457
1718900103.5630696,211,0.5917612314224243
1718900109.2946715,213,0.6522035002708435
1718900114.928771,215,0.6473544239997864
1718900118.2363992,216,0.6298857927322388
1718900123.7444963,218,0.6285142302513123
1718900126.4612234,219,0.6281269192695618
1718900129.2450814,220,0.6317508816719055
1718900131.943319,221,0.6179403066635132
1718900134.6929038,222,0.6170300841331482
1718900140.1630797,224,0.6464664340019226
1718900142.7730129,225,0.6384799480438232
1718900145.7746477,226,0.6119838356971741
1718900153.783004,229,0.650996208190918
1718900159.356264,231,0.6375380158424377
1718900161.960548,232,0.6653273105621338
1718900167.5950503,234,0.6504985094070435
1718900170.1858892,235,0.6776395440101624
1718900172.8127456,236,0.6899198889732361
1718900175.8646977,237,0.6763285398483276
1718900178.593511,238,0.7019897103309631
1718900181.5834153,239,0.7120205760002136
1718900187.2539682,241,0.6578333377838135
