Wall time,Step,Value
1718718678.3880363,0,nan
1718718689.6926336,2,nan
1718718695.6255703,3,nan
1718718701.996421,4,0.30568182468414307
1718718731.3017356,9,nan
1718718738.645325,10,0.37458792328834534
1718718745.0453289,11,0.31277599930763245
1718718763.4351406,14,0.34331342577934265
1718718767.9522722,15,0.3730510175228119
1718718774.0394022,16,nan
1718718784.0958874,18,nan
1718718790.505995,19,0.3114553689956665
1718718797.1175854,20,0.3467276990413666
1718718808.7119658,22,nan
1718718814.9281685,23,nan
1718718832.9527874,26,nan
1718718839.1714149,27,nan
1718718843.3883228,28,nan
1718718848.3576207,29,nan
1718718853.4061036,30,nan
1718718867.5308957,33,nan
1718718872.0100636,34,nan
1718718880.921982,36,nan
1718718886.1110384,37,nan
1718718892.903661,38,nan
1718718897.5836575,39,nan
1718718902.2152867,40,nan
1718718944.2247005,47,nan
1718718950.2166443,48,nan
1718718954.7127414,49,nan
1718718961.0945253,50,nan
1718718965.3273969,51,nan
1718718971.5619442,52,nan
1718718978.3593285,53,nan
1718718982.197273,54,nan
1718718988.8828688,55,nan
1718718997.5833087,57,nan
1718719010.6814134,60,nan
1718719015.260575,61,nan
1718719021.5140665,62,nan
1718719026.110875,63,nan
1718719035.4617217,65,nan
1718719040.5237877,66,nan
1718719045.0904655,67,nan
1718719051.8445156,68,nan
1718719061.4373076,70,nan
1718719067.7116792,71,nan
1718719078.1269763,73,nan
1718719090.9932945,75,nan
1718719100.0077803,77,nan
1718719106.877151,78,nan
1718719112.9703252,79,nan
1718719117.839492,80,nan
1718719127.2406678,82,nan
1718719132.073475,83,nan
1718719141.21178,85,nan
1718719145.6255724,86,nan
1718719150.0977921,87,nan
1718719159.8483076,89,nan
1718719164.7828636,90,nan
1718719187.32991,95,nan
1718719207.361049,99,nan
1718719211.720494,100,nan
1718719226.9057298,103,nan
1718719233.4900942,104,nan
1718719242.4150555,106,nan
1718719247.2734175,107,nan
1718719252.4977255,108,nan
1718719257.4750257,109,nan
1718719262.559478,110,nan
1718719267.3502462,111,nan
1718719272.8491802,112,nan
1718719282.7973125,114,nan
1718719287.216433,115,nan
1718719293.5083075,116,nan
1718719311.8869524,120,nan
1718719315.77815,121,nan
1718719333.5555654,125,nan
1718719338.0602014,126,nan
1718719347.5495114,128,nan
1718719352.6222286,129,nan
1718719357.6117175,130,nan
1718719362.0666625,131,nan
1718719366.5525775,132,nan
1718719375.864395,134,nan
