Wall time,Step,Value
1718022035.6341355,0,nan
1718022050.1728497,2,nan
1718022057.55457,3,nan
1718022064.8940377,4,0.30568182468414307
1718022099.7460377,9,nan
1718022107.4629269,10,0.30568182468414307
1718022116.979165,11,0.30568182468414307
1718022136.9881234,14,nan
1718022144.1786733,15,0.20111508667469025
1718022149.5051756,16,nan
1718022159.8261225,18,nan
1718022165.186581,19,nan
1718022170.4871545,20,nan
1718022181.129702,22,nan
1718022186.853251,23,nan
1718022202.3786752,26,nan
1718022207.6004357,27,nan
1718022212.760489,28,nan
1718022217.7511265,29,nan
1718022223.2899525,30,nan
1718022239.0090265,33,nan
1718022244.349571,34,nan
1718022259.271803,36,nan
1718022264.4937983,37,nan
1718022270.5459006,38,nan
1718022277.7542057,39,nan
1718022285.557846,40,nan
1718022329.1003473,47,nan
1718022334.5052536,48,nan
1718022342.5973017,49,nan
1718022347.6164818,50,nan
1718022354.9293377,51,nan
1718022360.4902034,52,nan
1718022366.159625,53,nan
1718022371.6000311,54,nan
1718022376.9322083,55,nan
1718022389.7489226,57,nan
1718022408.0022926,60,nan
1718022415.5722744,61,nan
1718022420.8580563,62,nan
1718022428.7425566,63,nan
1718022443.8116915,65,nan
1718022449.040421,66,nan
1718022454.3746128,67,nan
1718022462.4583392,68,nan
1718022475.9921856,70,nan
1718022483.653947,71,nan
1718022498.5494971,73,nan
1718022513.4259505,75,nan
1718022524.1614876,77,nan
1718022531.8221278,78,nan
1718022539.6803315,79,nan
1718022547.3195593,80,nan
1718022561.7519453,82,nan
1718022567.747753,83,nan
1718022580.095881,85,nan
1718022588.0555363,86,nan
1718022595.8038428,87,nan
1718022608.5982804,89,nan
1718022616.7014394,90,nan
1718022649.9906497,95,nan
1718022678.106914,99,nan
1718022685.6798167,100,nan
1718022703.2228606,103,nan
1718022708.014017,104,nan
1718022718.9582753,106,nan
1718022723.9551091,107,nan
1718022728.6761086,108,nan
1718022735.9460359,109,nan
1718022741.2778647,110,nan
1718022746.3404763,111,nan
1718022753.9899735,112,nan
1718022770.3946557,114,nan
1718022777.7220507,115,nan
1718022785.6119232,116,nan
1718022810.8644948,120,nan
1718022816.2539341,121,nan
1718022840.0915918,125,nan
1718022845.8893335,126,nan
1718022858.9555461,128,nan
1718022866.4819558,129,nan
1718022871.336493,130,nan
1718022876.193429,131,nan
1718022883.4230387,132,nan
1718022896.290056,134,nan
1718022906.6786542,136,nan
1718022912.0689003,137,nan
1718022917.5723622,138,nan
1718022925.362803,139,nan
1718022949.2994306,143,nan
1718022954.8865304,144,nan
1718022962.3154197,145,nan
1718022967.5797644,146,nan
1718022972.9942956,147,nan
1718022992.736824,150,nan
1718023018.5588946,154,nan
1718023029.3342526,156,nan
1718023034.5995216,157,nan
1718023045.899266,159,nan
1718023050.8766139,160,nan
1718023061.29256,162,nan
1718023066.548547,163,nan
1718023072.0982478,164,nan
1718023088.0922801,166,nan
1718023099.283571,168,nan
1718023110.706566,170,nan
1718023116.3632584,171,nan
1718023122.6132216,172,nan
1718023136.5648737,174,nan
1718023141.7446282,175,nan
1718023147.501485,176,nan
1718023155.6083825,177,nan
1718023163.163646,178,nan
1718023174.216308,180,nan
1718023182.4086478,181,nan
1718023189.970938,182,nan
1718023196.1950645,183,nan
1718023202.10632,184,nan
1718023209.861783,185,nan
1718023215.779271,186,nan
1718023237.0098336,189,nan
1718023243.053406,190,nan
1718023249.03204,191,nan
1718023255.1572554,192,nan
1718023273.4755285,195,nan
1718023291.154663,198,nan
1718023296.2458131,199,nan
1718023301.5333009,200,nan
1718023312.8654542,202,nan
1718023319.3607905,203,nan
1718023327.8874037,204,nan
1718023334.2072184,205,nan
1718023348.3612957,207,nan
1718023356.0006368,208,nan
1718023361.6963046,209,nan
1718023375.0471728,211,nan
1718023388.5921683,213,nan
1718023400.3284354,215,nan
1718023407.9757645,216,nan
1718023418.894002,218,nan
1718023425.153579,219,nan
1718023431.2170742,220,nan
1718023439.5526001,221,nan
1718023445.771839,222,nan
1718023458.8433855,224,nan
1718023464.418409,225,nan
1718023470.5156405,226,nan
1718023491.2824028,229,nan
1718023501.8349135,231,nan
1718023507.2595696,232,nan
1718023519.734855,234,nan
1718023526.0809846,235,nan
1718023531.8104143,236,nan
1718023537.05076,237,nan
1718023542.3080661,238,nan
1718023549.6444056,239,nan
1718023560.984014,241,nan
1718023566.2479613,242,nan
1718023576.3564792,244,nan
1718023582.2297149,245,nan
1718023588.1239395,246,0.46738919615745544
1718023594.1353288,247,nan
1718023600.034292,248,nan
1718023605.3616405,249,nan
1718023623.212971,252,nan
1718023628.9536526,253,nan
1718023634.6321762,254,nan
1718023639.940029,255,nan
1718023650.9712405,257,nan
1718023656.4382498,258,nan
1718023661.9920099,259,nan
1718023667.233795,260,nan
