Wall time,Step,Value
1717129108.9272664,0,13.069579124450684
1717129123.3788333,2,3.9518914222717285
1717129131.2017152,3,6.912801265716553
1717129136.5696483,4,2.2589783668518066
1717129174.9964077,9,2.698730230331421
1717129180.4897187,10,2.4657020568847656
1717129185.6810286,11,1.5479707717895508
1717129205.4418316,14,0.9715514183044434
1717129212.0724158,15,1.006716012954712
1717129220.5052257,16,1.1561352014541626
1717129234.1620014,18,1.030526041984558
1717129239.690231,19,0.7134143114089966
1717129245.388683,20,0.7146956324577332
1717129259.0755796,22,0.4459305703639984
1717129265.1195354,23,0.5159319639205933
1717129280.8983085,26,0.4425540864467621
1717129288.329805,27,0.49362143874168396
1717129296.3773324,28,0.41563498973846436
1717129301.974797,29,0.38984185457229614
1717129307.7865722,30,0.3785249590873718
1717129324.9067316,33,0.4214184284210205
1717129332.595204,34,0.38889750838279724
1717129345.967489,36,0.3852987289428711
1717129351.3719401,37,0.3338077664375305
1717129357.1270332,38,0.3309931755065918
1717129363.0958025,39,0.37833094596862793
1717129369.2013195,40,0.3523383140563965
1717129413.4513664,47,0.3467791676521301
1717129419.1450212,48,0.35278353095054626
1717129424.6828058,49,0.3280293941497803
1717129430.19284,50,0.33737871050834656
1717129436.1544073,51,0.33037739992141724
1717129441.8783925,52,0.3352723717689514
1717129447.18944,53,0.311503142118454
1717129452.6960921,54,0.3369806706905365
1717129460.7262897,55,0.32740068435668945
1717129472.0903287,57,0.3164798617362976
1717129490.8409705,60,0.29473432898521423
1717129496.2844431,61,0.30850303173065186
1717129501.58002,62,0.29239434003829956
1717129507.0654855,63,0.3085421323776245
1717129517.9717083,65,0.3046056628227234
1717129523.4063923,66,0.2985648512840271
1717129529.109179,67,0.29779720306396484
1717129534.7471054,68,0.3193455934524536
1717129547.424188,70,0.28781965374946594
1717129552.8008032,71,0.28002625703811646
1717129563.9707139,73,0.3189451992511749
1717129575.377624,75,0.32286012172698975
1717129586.7989998,77,0.30066633224487305
1717129591.9905894,78,0.31340181827545166
1717129597.4454339,79,0.3007041811943054
1717129602.8824065,80,0.28348177671432495
1717129614.0806577,82,0.27812057733535767
1717129619.8142118,83,0.28564774990081787
1717129630.8751743,85,0.29201409220695496
1717129636.0009549,86,0.28292742371559143
1717129641.6607134,87,0.29882535338401794
1717129654.053872,89,0.28750044107437134
1717129661.6463265,90,0.2795301675796509
1717129691.113429,95,0.271492600440979
1717129719.2044444,99,0.2605438232421875
1717129725.152775,100,0.27356597781181335
1717129741.9534624,103,0.26947805285453796
1717129747.938628,104,0.2922879457473755
1717129758.9112515,106,0.2705671191215515
1717129764.664724,107,0.2680129408836365
1717129770.5766501,108,0.2788045406341553
1717129775.963806,109,0.2699642777442932
1717129781.4617014,110,0.27027827501296997
1717129787.0026224,111,0.26759886741638184
1717129792.3365562,112,0.28358232975006104
1717129803.606979,114,0.2756313979625702
1717129808.8949513,115,0.25866007804870605
1717129814.6344254,116,0.25777509808540344
1717129836.5571141,120,0.2595288157463074
1717129841.9779046,121,0.27901220321655273
1717129863.736264,125,0.27789783477783203
1717129869.249913,126,0.25987908244132996
1717129880.5725474,128,0.2673238217830658
1717129886.024579,129,0.2734498977661133
1717129891.5834394,130,0.2631882131099701
1717129897.4238045,131,0.25578194856643677
1717129902.782799,132,0.26555150747299194
1717129914.096662,134,0.2637561559677124
1717129924.9165294,136,0.2596534192562103
1717129930.159689,137,0.2547779083251953
1717129935.9543037,138,0.2621415853500366
1717129941.4825625,139,0.25203531980514526
1717129963.6628478,143,0.2554957866668701
1717129969.529037,144,0.2644772529602051
1717129975.311079,145,0.26022589206695557
1717129981.0757158,146,0.2551632225513458
1717129986.6456041,147,0.2616546154022217
1717130005.9349906,150,0.2577332854270935
1717130028.6835396,154,0.2668714225292206
1717130039.7632885,156,0.25302672386169434
1717130045.5643637,157,0.2598406672477722
1717130056.874152,159,0.24845069646835327
1717130062.3279476,160,0.2529328465461731
1717130073.3792455,162,0.2498120665550232
1717130078.9000895,163,0.25345754623413086
1717130084.6381538,164,0.2542561888694763
1717130095.6794674,166,0.24953654408454895
1717130106.548622,168,0.25898808240890503
1717130117.3821182,170,0.2475997656583786
1717130122.7282667,171,0.2587308883666992
1717130128.449884,172,0.2614293694496155
1717130139.6366107,174,0.25068557262420654
1717130147.1100686,175,0.237605020403862
1717130154.8712838,176,0.24722370505332947
1717130160.3862267,177,0.2494002878665924
1717130166.1436906,178,0.24409477412700653
1717130177.051014,180,0.2718437910079956
1717130182.5084789,181,0.24916359782218933
1717130188.0006933,182,0.2425762116909027
1717130193.5863478,183,0.2681865692138672
1717130199.2304058,184,0.2412441074848175
1717130204.9389489,185,0.25746434926986694
1717130210.1747923,186,0.2460198849439621
1717130226.5197563,189,0.26186615228652954
1717130232.124458,190,0.2480626404285431
1717130237.4846892,191,0.24500423669815063
1717130243.0224433,192,0.251003623008728
1717130259.2100894,195,0.24072372913360596
1717130275.6264875,198,0.24792979657649994
1717130281.2217872,199,0.2604658007621765
1717130286.3734791,200,0.24887768924236298
1717130297.2623603,202,0.24316374957561493
1717130302.8686566,203,0.259940505027771
1717130308.6375165,204,0.25561195611953735
1717130314.2025387,205,0.24110862612724304
1717130325.6423407,207,0.26306217908859253
1717130330.6613967,208,0.25358739495277405
1717130338.0434473,209,0.24812805652618408
1717130349.1342208,211,0.24409709870815277
1717130360.1186192,213,0.2543432116508484
1717130370.6974182,215,0.24380385875701904
1717130376.2628508,216,0.23954539000988007
1717130387.4948323,218,0.24473810195922852
1717130393.2189453,219,0.24524101614952087
1717130398.9102519,220,0.2385779321193695
1717130404.4222867,221,0.24518486857414246
1717130409.766318,222,0.25420570373535156
1717130420.601748,224,0.23696386814117432
1717130426.3536873,225,0.23736032843589783
1717130431.926183,226,0.24067209661006927
1717130448.3767653,229,0.23338282108306885
1717130459.4869874,231,0.2409157156944275
1717130465.2157087,232,0.2366931140422821
1717130475.8042107,234,0.23368345201015472
1717130481.0793865,235,0.23604512214660645
1717130487.1253629,236,0.23934349417686462
1717130492.7094452,237,0.23263178765773773
1717130498.2713866,238,0.2575581967830658
1717130503.8912919,239,0.24340921640396118
1717130515.1399257,241,0.24033419787883759
1717130520.8732464,242,0.25245392322540283
1717130531.973828,244,0.24664366245269775
1717130537.5965273,245,0.2391374111175537
1717130543.414134,246,0.24036918580532074
1717130549.1719885,247,0.2339356392621994
1717130554.8069947,248,0.24616682529449463
1717130559.978918,249,0.23201069235801697
1717130576.7079782,252,0.24825415015220642
1717130582.0956585,253,0.23540475964546204
1717130587.9008164,254,0.23482447862625122
1717130593.16259,255,0.23533794283866882
1717130604.2661796,257,0.2313964068889618
1717130609.4154966,258,0.2319118231534958
1717130615.013551,259,0.23210202157497406
1717130620.7724376,260,0.23552405834197998
1717130631.586378,262,0.24475443363189697
1717130637.0763943,263,0.2449650764465332
1717130665.4825451,268,0.2364521324634552
1717130675.962747,270,0.24028298258781433
1717130682.0092285,271,0.23121416568756104
1717130698.447075,274,0.24112221598625183
1717130703.92691,275,0.23803836107254028
1717130709.7410524,276,0.23240011930465698
1717130720.1955285,278,0.23309007287025452
1717130725.5346165,279,0.22543996572494507
1717130730.8932438,280,0.22973883152008057
1717130736.7001545,281,0.22601449489593506
1717130742.3303313,282,0.2278105616569519
1717130747.9643636,283,0.23072127997875214
1717130753.5680995,284,0.23601387441158295
1717130759.1504755,285,0.2279202938079834
1717130770.1990743,287,0.23707935214042664
1717130775.7207582,288,0.24231266975402832
1717130787.1550338,290,0.23458725214004517
1717130792.5249503,291,0.22909079492092133
1717130815.6268506,295,0.2298445999622345
1717130821.3481228,296,0.22907952964305878
1717130826.4660156,297,0.2272026240825653
1717130832.27779,298,0.23013781011104584
1717130838.0760703,299,0.23061209917068481
1717130844.0759087,300,0.23107820749282837
1717130865.836542,304,0.22799716889858246
1717130871.4355285,305,0.2281237542629242
1717130877.0501635,306,0.2354806363582611
1717130882.8340585,307,0.2383093535900116
1717130888.285029,308,0.22827422618865967
1717130893.5234764,309,0.2429485023021698
1717130904.5319836,311,0.23633620142936707
1717130909.6964152,312,0.22883328795433044
1717130915.0955079,313,0.23314456641674042
1717130920.6581748,314,0.22660446166992188
1717130926.0057375,315,0.2257300317287445
